Spiral Arrow EX,EX Spiral Arrow,7,2(2)10,5+18,KD,-11,~,~,~,~,70*70,50*150,H*H,-,80,21,26
Cannon Spike LK,LK DP,4,11,22+14,KD,-37,~,~,~,~,120(80),150,H,su,79,20,25
Cannon Spike MK,MK DP,5,11,25+14,KD,-37,~,~,~,~,120(80),150,H,su,79,20,25
Cannon Spike HK,HK DP,6,11,25+14,KD,-37,~,~,~,~,120(80),150,H,su,79,20,25
Cannon Spike EX,EX DP,3,11,24+14,KD,-37,~,~,~,~,50*50*60,50*50*100,H,-,77,18,23
Cannon Strike LK,LK Divekick,13,11,9,0(8),-5(2),~,~,~,~,60,100,H,-,~,~,~
Cannon Strike MK,MK Divekick,13,11,9,0(8),-5(2),~,~,~,~,60,100,H,-,~,~,~
Cannon Strike HK,HK Divekick,13,11,9,-1(7),-5(2),~,~,~,~,60,100,H,-,~,~,~
Cannon Strike EX,EX Divekick,13,11,13,KD,-5(4),~,~,~,~,80,100,H,-,~,~,~
Hooligan Combination LP,LP Hooligan,~,~,~,~,~,~,~,~,~,,,,-,~,~,~
Hooligan Combination MP,MP Hooligan,~,~,~,~,~,~,~,~,~,,,,-,~,~,~
Hooligan Combination HP,HP Hooligan,~,~,~,~,~,~,~,~,~,,,,-,~,~,~
Hooligan Combination EX,EX Hooligan,~,~,~,~,~,~,~,~,~,,,,-,~,~,~
Razor Edge Slicer,Hooligan > Slide,39+10,9,13,KD,-2,~,~,~,~,100,150,L,-,94,35,40
Razor Edge Slicer EX,EX Hooligan > Slide,39+10,9,13,KD,3,~,~,~,~,50*50*50,50*50*100,L*L*L,-,97,38,43
Fatal Leg Twister,Hooligan > Throw,24+4,2,10,KD,KD,~,~,~,~,150,250,T,-,55,6,6
Cross Scissors Pressure,Hooligan > Air Throw,24+4,2,10,KD,KD,~,~,~,~,150,250,T,-,78,19,19
Cannon Strike (Hooligan),Hooligan > Divekick,24+15,11,9,4(9),0(5),~,~,~,~,60,100,H,-,~,~,~
Cannon Strike EX (Hooligan),EX Hooligan > Divekick,14+13,11,13,KD,-2(6),~,~,~,~,80,100,H,-,105,46,51
Cross Stinger Assault,Super,3,9,39,KD,-30,~,~,~,~,330,0,H,-,93,44,44
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1 oH,xx VTrigger 1 oB,xx VTrigger 2 Dash oH,xx VTrigger 2 Dash oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
