Solar Plexus Strike,f+HP,17,2(1)2,18,8,-2,~,~,40*40,75*75,H*H,sp,~,~,~
Axe Kick,b+HK,9,3(3)4,16,4,-2,13*18,17*12,40*40,60*90,H*H,sp/su/vt1/vt2,~,~,~
Jodan Sanrengeki 1st,MP > HP,5+9,2,28,-9,-16,12,5,60*63 (123),100*90 (190),H*H,vt1/vt2,~,~,~
Jodan Sanrengeki 2nd,MP > HP > HK,5+9+9,2,26,KD,-7,KD (+99/46/51),9,60*63*56 (179),100*90*80 (270),H*H*H,vt1/vt2,80,27,32
Jodan Nirengeki,HP > HK,8+9,2,26,KD,-7,KD (+99/46/51),9,90*63 (153),150*90 (240),H*H,vt1/vt2,80,27,32
Shoulder Throw,Throw,5,3,17,KD,KD,~,~,130,150,T,-,53,4,4
Somersault Throw,Back Throw,5,3,17,KD,KD,~,~,150,200,T,-,47,-2,-2
Denjin Renki,VTrigger 1,1,~,4,~,~,~,~,,,,-,~,~,~
Kakko Fubatsu,VTrigger 2,1,~,4,~,~,~,~,,,,-,~,~,~
Mind's Eye,VSkill,3(1),7,32(5),~,~,~,~,,,,-,~,~,~
Hashogeki,VReversal,17,2,24,KD,-2,~,~,60,0,H,-,73,14,19
Hadoken LP,LP Fireball,14,~,31,-1,-6,~,~,60,100,H,su,~,~,~
Hadoken MP,MP Fireball,14,~,31,-1,-6,~,~,60,100,H,su,~,~,~
Hadoken HP,HP Fireball,14,~,31,-1,-6,~,~,60,100,H,su,~,~,~
Hadoken EX,EX Fireball,11,~,31,KD,2,KD (+114/56/61),19,40*60,0*150,H*H,vt1/vt2,95,37,42
Shoryuken LP,LP DP,3,12,19+11,KD,-24,~,~,100(60),150(100),H,su,89,30,35
Shoryuken MP,MP DP,4,11,26+13,KD,-32,~,~,120(60),150(100),H,su,81,22,27
Shoryuken HP,HP DP,5,10,29+15,KD,-36,~,~,130(60),150,H,su,79,20,25
Shoryuken EX,EX DP,3,12,29+15,KD,-37,~,~,80*80,200,H*H,-,72,13,18
Tatsumaki Senpukyaku LK,LK Tatsu,10,2,18+12,KD,-10,~,~,90,150,H,-,95,36,41
Tatsumaki Senpukyaku MK,MK Tatsu,12,2(16)2,14+16,KD,-10,~,~,100,150,H,-,77,18,23
Tatsumaki Senpukyaku HK,HK Tatsu,14,2(16)2(14)2,14+17,KD,-10,~,~,110,150,H,-,64,5,10
Tatsumaki Senpukyaku EX,EX Tatsu,10,2(4)2(5)2(3)3(3)2,11+15,KD,-19,~,~,28x5 (140),150,H,-,93,34,39
Air Tatsumaki Senpukyaku LK,LK Air Tatsu,9,2(6)2(6)2,14,KD,-3(2),~,~,100,200,H,-,~,~,~
Air Tatsumaki Senpukyaku MK,MK Air Tatsu,9,2(6)2(6)2,14,KD,-3(2),~,~,100,200,H,-,~,~,~
Air Tatsumaki Senpukyaku HK,HK Air Tatsu,9,2(6)2(6)2,14,KD,-3(2),~,~,100,200,H,-,~,~,~
Air Tatsumaki Senpukyaku EX,EX Air Tatsu,8,2(4)2(2)2(3)2(2)2,14,KD,~,~,~,170,250,H,-,~,~,~
Jodan Sokutou Geri LK,LK Donkey Kick,10,2,28,KD,-16,~,~,70,150,H,su,83,24,29
Jodan Sokutou Geri MK,MK Donkey Kick,16,2,28,KD,-16,~,~,80,150,H,su,83,24,29
Jodan Sokutou Geri HK,HK Donkey Kick,18,2,28,KD,-16,~,~,100,150,H,su,83,24,29
Jodan Sokutou Geri EX,EX Donkey Kick,18,2,36,KD,-16,~,~,80,150,H,-,84,31,31
Shinkuu Hadoken,Super,4,~,61,KD,-17,~,~,320,0,H,-,80,21,26
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
