Fuharenkyaku HK Release,HK Release,10,2(14)2,21,KD,-6,13*KD (+105/46/51),6*3,~,~,40*50,70*80,H,vs/vt1/vt2,96,37,42
Fuharenkyaku EX,EX Release,7,2(17)2(12)2(20)2,15,KD,-2,KD (+82/23/28),0,~,~,35x4 (120),40x3*30 (150),H,vt1/vt2,80,21,26
Tensenrin LP,LP DP,7,3(2)2,22,2,-3,~,~,~,~,40*40,75*75,H,su,~,~,~
Tensenrin MP,MP DP,6,2(3)2(3)2,21+16,KD,-29,~,~,~,~,40*35*45 (120),50x3 (150),H,-,87,28,33
Tensenrin HP,HP DP,7,2(2)2(2)2(2)2,21+16,KD,-32,~,~,~,~,30x4 (120),30x3*60 (150),H,-,87,28,33
Tensenrin EX,EX DP,7,2(2)2(2)2(2)2,20+18,KD,-31,~,~,~,~,30*10x3*90 (150),20x3*30*110 (200),H,-,63,4,9
Ryodansatsu LK,LK Axe Kick,19,3,24,KD,-6,KD (+98/39/44),9,~,~,70,150,H,su/vt1/vt2,83,24,29
Ryodansatsu MK,MK Axe Kick,20,3,24,KD,-6,KD (+98/39/44),9,~,~,80,150,H,su/vt1/vt2,83,24,29
Ryodansatsu HK,HK Axe Kick,25,3,24,KD,-6,KD (+98/39/44),9,~,~,100,200,H,su/vt1/vt2,83,24,29
Ryodansatsu EX,EX Axe Kick,25,3,20,KD,-2,KD (+110/51/56),7,~,~,80,150,H,vt1/vt2,101,42,47
Sakkai Fuhazan,Super,9,20,58,KD,-15,~,~,~,~,330,0,H,-,82,23,28
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1/2 oH,xx VTrigger 1/2 oB,xx VSkill oH,xx VSkill oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
