crouch HK,crouch HK,12,8,21,KD,-12,KD (+64/36/41),5,KD (see notes),9/5 (-30/-42),90,150,L,vt1/vt2,68,19,24
jump LP,jump LP,3,5,~,6~9,3~6,~,~,~,~,40,70,M,-,~,~,~
jump MP,jump MP,7,5,~,12,9,~,~,~,~,60,100,M,-,~,~,~
jump HP,jump HP,8,5,~,9~15,6~12,~,~,~,~,90,150,M,-,~,~,~
jump LK,jump LK,4,8,~,5~9,2~6,~,~,~,~,40,70,M,-,~,~,~
jump MK,jump MK,6,5,~,11~12,8~9,~,~,~,~,70,100,M,-,~,~,~
jump HK,jump HK,7,7,~,12~15,9~12,~,~,~,~,90,150,M,-,~,~,~
Shooting Star Combo,j.MP > j.HP,7+8,5,~,KD,~,~,~,~,~,60*54,100*90,M*M,-,75,16,21
stomp chop,LK > MP,4+4,2,14,1,-5,5,-1,9/5 (-30),3/-1 (-36),30*45,70*90,H*H,su/sp/vt1/vt2,~,~,~
divebomb,Dive splash,16,7,27,KD,-9(-10),~,~,~,~,70,100,M,-,84,25,30
lady mika,f+HP,10,3,12,KD,3,KD (+118/+59/+64),6,KD,10/6 (-29),80,150,H,su/sp/vs/vt1/vt2,125,66,71
passion press,Irish Whip,8,2,20,0,-8,~,~,~,~,50,100,H,-,~,~,~
passion rope throw forward,f or b+MP > Throw Fwd,2,2,50,KD,-40,~,~,~,~,50*27,100*0,H,-,~,~,~
passion rope throw backward,f or b+MP > Throw Back,2,2,38,KD,-28,~,~,~,~,50*27,100*0,H,-,~,~,~
daydream headlock,Throw,5,3,17,KD,KD,~,~,~,~,140,200,T,-,42,3,3
dream driver,Crouch Throw,5,3,17,KD,KD,~,~,~,~,120,150,T,-,61,12,12
sell down,Back Throw,5,2,18,KD,KD,~,~,~,~,140,200,T,-,71,12,12
heated mic performance lvl 1,VSkill,75,~,15,11,4,~,~,~,~,40,100,H,-,~,~,~
heated mic performance max,VSkill hold,1095,~,0,~,~,~,~,~,~,,,H,-,~,~,~
nadeshiko (above),Vtrigger Above,26,8,7(11),33,32,~,~,~,~,100,100,H,-,~,~,~
nadeshiko (above) (hold),Vtrigger Above Hold,121,8,10,33,32,~,~,~,~,100,100,H,-,~,~,~
nadeshiko (front),Vtrigger Front,36,4,7,KD,32,~,~,~,~,100,100,H,-,72,23,28
nadeshiko (front) (hold),Vtrigger Front Hold,117,4,10,KD,32,~,~,~,~,100,100,H,-,72,23,28
nadeshiko (behind),Vtrigger Behind,36,4,7,KD,32,~,~,~,~,100,100,H,-,72,23,28
nadeshiko (behind) (hold),Vtrigger Behind Hold,117,4,10,KD,32,~,~,~,~,100,100,H,-,72,23,28
Steel Chair,VTrigger 2,64,~,7,~,~,~,~,~,~,20x3 (60),50x3 (150),H,-,~,~,~
Fightin' Dirty,VTrigger 2 (hold),~,~,11,~,~,~,~,~,~,100*60,100*100,H,-,~,~,~
peach gator,VReversal,17,2,24,KD,-2,~,~,~,~,60,0,H,-,66,17,17
shooting peach LP,LP Buttocks Lunge,10,6,9+16,KD,-7,~,~,~,~,80,150,H,-,72,23,28
shooting peach MP,MP Buttocks Lunge,13,8,6+19,KD,-10,~,~,~,~,90,150,H,-,82,23,28
shooting peach HP,HP Buttocks Lunge,20,13,2+15,KD,-12,~,~,~,~,100,150,H,-,82,23,28
shooting peach EX,EX Buttocks Lunge,5,5(13)5,18(23),KD,-15,~,~,~,~,40*40*50,20*20*160,H*H*H,-,78,19,24
wingless airplane LK,LK Anti-Air Grab,5,5,23+20,KD,~,~,~,~,~,130,200,T,-,69,20,20
wingless airplane MK,MK Anti-Air Grab,7,8,20+20,KD,~,~,~,~,~,130,200,T,-,69,20,20
wingless airplane HK,HK Anti-Air Grab,10,11,17+20,KD,~,~,~,~,~,130,200,T,-,69,20,20
wingless airplane EX,EX Anti-Air Grab,5,11,17+20,KD,~,~,~,~,~,160,200,T,-,69,20,20
rainbow typhoon LP,LP Tornado Grab,5,2,60,KD,KD,~,~,~,~,180,200,T,-,70,11,11
rainbow typhoon MP,MP Tornado Grab,5,2,60,KD,KD,~,~,~,~,190,200,T,-,70,11,11
rainbow typhoon HP,HP Tornado Grab,5,2,60,KD,KD,~,~,~,~,200,200,T,-,70,11,11
rainbow typhoon EX,EX Tornado Grab,5,2,60,KD,KD,~,~,~,~,240,250,T,-,15,15,15
brimstone LK,LK Lift Grab,5,2,60,KD,KD,~,~,~,~,120,150,T,-,69,20,20
brimstone MK,MK Lift Grab,5,2,60,KD,KD,~,~,~,~,130,150,T,-,69,20,20
brimstone HK,HK Lift Grab,5,2,60,KD,KD,~,~,~,~,140,150,T,-,69,20,20
brimstone EX,EX Lift Grab,5,2,60,KD,KD,~,~,~,~,180,200,T,-,21,21,21
peach assault,Super,3,2,51,KD,~,~,~,~,~,360,0,T,-,75,26,26
Move Name,Move Name,Startup,Active,Recovery,On Hit,On Block,xx VTrigger 1 oH,xx VTrigger 1 oB,xx VTrigger 2 oH,xx VTrigger 2 oB,Damage,Stun,Attack Lvl,Cancel Into,KD Adv,KDR Adv,KDRB Adv
